Fat No.,lat,Long,,,
P,23.2926778,77.4281609,,,
P,23.293359,77.427572,,,
P,23.2937177,77.4267829,,,
P,23.2940907,77.4258782,,,
P,23.2939038,77.4255892,,,
P,23.293538,77.427903,,,
P,23.292949,77.427339,,,
P,23.292731,77.427955,,,
P,23.293446,77.428698,,,
P,23.293860,77.427998,,,
P,23.294016,77.427764,,,
P,23.293994,77.426914,,,
P,23.294377,77.427126,,,
P,23.294961,77.427411,,,
P,23.295065,77.427097,,,
P,23.293661,77.426783,,,
P,23.293722,77.426994,,,
P,23.293856,77.426951,,,
P,23.294078,77.425938,,,
P,23.294572,77.426153,,,
P,23.294706,77.426211,,,
P,23.294274,77.426400,,,
P,23.294160,77.426241,,,
P,23.294522,77.426423,,,
P,23.294759,77.426553,,,
P,23.294547,77.426761,,,
P,23.294293,77.426630,,,
P,23.293959,77.425435,,,
P,23.293881,77.425381,,,
P,23.293952,77.425508,,,
P,23.293874,77.425536,,,
P,23.293828,77.425505,,,
P,23.293791,77.425704,,,
P,23.293818,77.425722,,,
P,23.293818,77.425709,,,
P,23.293581,77.425993,,,
P,23.293681,77.425942,,,
P,23.293741,77.425984,,,
,,,,,
,,,,,
,,,,,
,13,14,,,
,15,16,,,
,17,18,,,
,19,20,,,
,21,22,,,
,23,24,,,
,25,26,,,
,27,28,,,
,29,30,,,
,32,33,,,
,34,35,,,
,37,38,,,
,39,40,,,
,49,50,,,
,51,52,,,
,53,54,,,
,55,56,,,
,57,58,,,
,59,60,,,
,61,62,,,
,63,64,,,
,65,66,,,
,67,68,,,
,69,70,,,
,71,72,,,
,73,74,,,
,75,76,,,
,77,78,,,
,79,80,,,
,81,82,,,
,83,84,,,
,85,86,,,
,87,88,,,
